COUNTRY,COUNTRY_CODE,SEX_CODE,AGEGROUP_CODE,FRACTION_POP,WEIGHTED_DEATHS_100K,AGE_MIDPOINT,WEIGHTED_AGE,GENDER_RATIO
China,CHN,FMLE,YEARS15-19,0.026827208,0.509716951,17,0.456062536,1.052441413
China,CHN,FMLE,YEARS20-24,0.029015599,0.80083053,22,0.638343176,1.052441413
China,CHN,FMLE,YEARS25-29,0.034662413,1.022541183,27,0.93588515,1.052441413
China,CHN,FMLE,YEARS30-34,0.043013816,1.797977496,32,1.376442103,1.052441413
China,CHN,FMLE,YEARS35-39,0.03280713,2.109498453,37,1.213863806,1.052441413
China,CHN,FMLE,YEARS40-44,0.034070277,3.492203418,42,1.430951644,1.052441413
China,CHN,FMLE,YEARS45-49,0.042167474,6.093200043,47,1.981871294,1.052441413
China,CHN,FMLE,YEARS50-54,0.041658944,10.20644123,52,2.166265078,1.052441413
China,CHN,FMLE,YEARS55-59,0.032422516,12.8393162,57,1.848083393,1.052441413
China,CHN,FMLE,YEARS5-9,0.02800396,0.428460588,7,0.19602772,1.052441413
China,CHN,FMLE,YEARS60-64,0.026823422,17.89390474,62,1.663052157,1.052441413
China,CHN,FMLE,YEARS65-69,0.025315777,28.94352809,67,1.696157073,1.052441413
China,CHN,FMLE,YEARS70-74,0.015119762,32.38804293,72,1.088622889,1.052441413
China,CHN,FMLE,YEARS75-79,0.009576603,35.83181875,77,0.737398451,1.052441413
China,CHN,FMLE,YEARS80-84,0.006379925,45.80977278,82,0.523153819,1.052441413
China,CHN,FMLE,YEARS85PLUS,0.004633355,73.19867327,88,0.407735264,1.052441413
China,CHN,MLE,YEARS0-1,0.006064526,4.04564518,0.5,0.003032263,1.052441413
China,CHN,MLE,YEARS10-14,0.031349967,0.664619291,12,0.376199598,1.052441413
China,CHN,MLE,YEARS1-4,0.025356393,0.674480048,2.5,0.063390982,1.052441413
China,CHN,MLE,YEARS15-19,0.030821982,1.334591819,17,0.523973693,1.052441413
China,CHN,MLE,YEARS20-24,0.032717976,2.33606346,22,0.719795464,1.052441413
China,CHN,MLE,YEARS25-29,0.038068632,3.056911152,27,1.027853065,1.052441413
China,CHN,MLE,YEARS30-34,0.045638119,5.221000835,32,1.460419814,1.052441413
China,CHN,MLE,YEARS35-39,0.034420813,5.748275703,37,1.273570066,1.052441413
China,CHN,MLE,YEARS40-44,0.035650222,8.923250634,42,1.497309335,1.052441413
China,CHN,MLE,YEARS45-49,0.043758192,14.31768051,47,2.056635036,1.052441413
China,CHN,MLE,YEARS50-54,0.042459205,21.8197855,52,2.207878666,1.052441413
